FIRST,FOLLOW,Nonterminal,PROGRAM,IDENTIFIER,TYPE,EQ,SEMICOLON,INTEGER,CHAR,ARRAY,SQBR_OPEN,DOT2,SQBR_CLOSE,OF,INTC,RECORD,END,COMMA,VAR,PROCEDURE,BR_OPEN,ParamList?,BR_CLOSE,BEGIN,ASSIGN,IF,THEN,ELSE,FI,WHILE,DO,ENDWH,READ,WRITE,RETURN,DOT,LT,ADD,MINUS,MUL,DIV,$
"{INTEGER,CHAR}","{SEMICOLON,IDENTIFIER}",BaseType,,,,,,BaseType -> INTEGER,BaseType -> CHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{ARRAY,RECORD}","{SEMICOLON,IDENTIFIER}",StructureType,,,,,,,,StructureType -> ArrayType,,,,,,StructureType -> RecordType,,,,,,,,,,,,,,,,,,,,,,,,,,
{ARRAY},"{SEMICOLON,IDENTIFIER}",ArrayType,,,,,,,,ArrayType -> ARRAY SQBR_OPEN Low DOT2 Top SQBR_CLOSE OF BaseType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{INTC},{DOT2},Low,,,,,,,,,,,,,Low -> INTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
{INTC},{SQBR_CLOSE},Top,,,,,,,,,,,,,Top -> INTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
{RECORD},"{SEMICOLON,IDENTIFIER}",RecordType,,,,,,,,,,,,,,RecordType -> RECORD FieldDecList END,,,,,,,,,,,,,,,,,,,,,,,,,,
"{INTEGER,CHAR,ARRAY}",{END},FieldDecList,,,,,,FieldDecList -> FieldDecType IdentifierList SEMICOLON FieldDecListMore,FieldDecList -> FieldDecType IdentifierList SEMICOLON FieldDecListMore,FieldDecList -> FieldDecType IdentifierList SEMICOLON FieldDecListMore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'',INTEGER,CHAR,ARRAY}",{END},FieldDecListMore,,,,,,FieldDecListMore -> FieldDecList,FieldDecListMore -> FieldDecList,FieldDecListMore -> FieldDecList,,,,,,,FieldDecListMore -> '',,,,,,,,,,,,,,,,,,,,,,,,,
"{INTEGER,CHAR,ARRAY}",{IDENTIFIER},FieldDecType,,,,,,FieldDecType -> BaseType,FieldDecType -> BaseType,FieldDecType -> ArrayType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{IDENTIFIER},{SEMICOLON},IdentifierList,,IdentifierList -> IDENTIFIER IdentifierListMore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{COMMA,''}",{SEMICOLON},IdentifierListMore,,,,,IdentifierListMore -> '',,,,,,,,,,,IdentifierListMore -> COMMA IDENTIFIER IdentifierListMore,,,,,,,,,,,,,,,,,,,,,,,,
"{'',VAR}","{PROCEDURE,BEGIN}",VarDec,,,,,,,,,,,,,,,,,VarDec -> VarDeclaration,VarDec -> '',,,,VarDec -> '',,,,,,,,,,,,,,,,,,
{VAR},"{PROCEDURE,BEGIN}",VarDeclaration,,,,,,,,,,,,,,,,,VarDeclaration -> VAR VarDecList,,,,,,,,,,,,,,,,,,,,,,,
"{IDENTIFIER,INTEGER,CHAR,ARRAY,RECORD}","{PROCEDURE,BEGIN}",VarDecList,,VarDecList -> TypeName IdentifierList SEMICOLON VarDecListMore,,,,VarDecList -> TypeName IdentifierList SEMICOLON VarDecListMore,VarDecList -> TypeName IdentifierList SEMICOLON VarDecListMore,VarDecList -> TypeName IdentifierList SEMICOLON VarDecListMore,,,,,,VarDecList -> TypeName IdentifierList SEMICOLON VarDecListMore,,,,,,,,,,,,,,,,,,,,,,,,,,
"{IDENTIFIER,'',INTEGER,CHAR,ARRAY,RECORD}","{PROCEDURE,BEGIN}",VarDecListMore,,VarDecListMore -> VarDecList,,,,VarDecListMore -> VarDecList,VarDecListMore -> VarDecList,VarDecListMore -> VarDecList,,,,,,VarDecListMore -> VarDecList,,,,VarDecListMore -> '',,,,VarDecListMore -> '',,,,,,,,,,,,,,,,,,
"{PROCEDURE,''}",{BEGIN},ProcDec,,,,,,,,,,,,,,,,,,ProcDec -> ProcDeclaration,,,,ProcDec -> ProcDeclaration,,,,,,,,,,,,,,,,,,
"{PROCEDURE,''}",{BEGIN},ProcDeclaration,,,,,,,,,,,,,,,,,,ProcDeclaration -> PROCEDURE ProcName BR_OPEN ParamList? BR_CLOSE SEMICOLON ProcDecPart ProcBody ProcDeclaration,,,,ProcDeclaration -> '',,,,,,,,,,,,,,,,,,
{IDENTIFIER},{BR_OPEN},ProcName,,ProcName -> IDENTIFIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'',VAR,IDENTIFIER,INTEGER,CHAR,ARRAY,RECORD}",{undefined},ParamList,,ParamList -> Param ParamListMore,,,,ParamList -> Param ParamListMore,ParamList -> Param ParamListMore,ParamList -> Param ParamListMore,,,,,,ParamList -> Param ParamListMore,,,ParamList -> Param ParamListMore,,,,,,,,,,,,,,,,,,,,,,,
"{SEMICOLON,''}",{},ParamListMore,,,,,ParamListMore -> SEMICOLON Param ParamListMore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{VAR,IDENTIFIER,INTEGER,CHAR,ARRAY,RECORD}",{SEMICOLON},Param,,Param -> TypeName IdentifierList,,,,Param -> TypeName IdentifierList,Param -> TypeName IdentifierList,Param -> TypeName IdentifierList,,,,,,Param -> TypeName IdentifierList,,,Param -> VAR TypeName IdentifierList,,,,,,,,,,,,,,,,,,,,,,,
"{'',TYPE,VAR,PROCEDURE}",{BEGIN},ProcDecPart,,,ProcDecPart -> DeclarePart,,,,,,,,,,,,,,ProcDecPart -> DeclarePart,ProcDecPart -> DeclarePart,,,,ProcDecPart -> DeclarePart,,,,,,,,,,,,,,,,,,
{BEGIN},"{PROCEDURE,BEGIN}",ProcBody,,,,,,,,,,,,,,,,,,,,,,ProcBody -> ProgramBody,,,,,,,,,,,,,,,,,,
